topic_id,topic_count,top_keywords,cbim_element,reason
80,20,"청소년, 농협, 섬유, 요르단, 텔랑가나, 인도, 성기학, 공로상, 발카, 직업",문화,청소년·직업·공로상·섬유·인도 등 사회적 책임과 글로벌 문화 교류 활동을 나타내는 키워드 집합이다.
82,20,"클라우드, 로봇, 사업, 데이터, 수주, 자동, 에이, 코오롱, 스마트, 이익",역량,클라우드·로봇·스마트·수주·코오롱 등 첨단 기술 기반의 사업 역량과 디지털 전환을 나타내는 키워드 집합이다.
88,19,"발렌티노, 드레스, 가라, 바니, 이탈리아, 로마, 메티, 별세, 카를로, 거장",브랜드 코어,발렌티노·로마·이탈리아·거장·별세 등 패션 브랜드의 역사적 정체성과 핵심 유산을 나타내는 키워드 집합이다.
90,18,"사연, 방적, 충남, 번개, 장터, 영산대, 캠페인, 동부, 예산군, 유산",문화,방적·충남·유산·캠페인·장터 등 지역 섬유 산업 유산과 문화적 가치를 나타내는 키워드 집합이다.
99,17,"재고, 전략, 구조, 중심, 광주, 섬유, 가격, 소비, 경쟁, 수요",포지셔닝,재고·가격·경쟁·소비·수요·전략 등 시장 내 경쟁 구조와 가격 포지셔닝 전략을 나타내는 키워드 집합이다.
106,16,"섬유, 대구, 산업, 경북, 엑스코, 직물, 완제, 박람회, 서관, 생활",역량,섬유·엑스코·직물·박람회·경북 등 섬유 산업의 생산·전시 역량과 산업 인프라를 나타내는 키워드 집합이다.
114,15,"지오, 트랜스포머, 티브, 디즈니, 아이코노그래피, 색상, 오송, 아트워크, 컬러, 컬렉션",표현,트랜스포머·디즈니·아이코노그래피·컬러·아트워크 등 IP 협업과 시각적 표현 요소를 나타내는 키워드 집합이다.
115,15,"장애인, 고용, 원주, 청소년, 협약, 섬유, 센터, 방적, 공단, 드림",문화,장애인 고용·청소년·협약·드림 등 사회적 포용과 기업 문화의 사회적 책임을 나타내는 키워드 집합이다.
117,14,"단속, 원산지, 라벨, 갈이, 합동, 관세청, 표시, 행위, 의류, 허위",가치,원산지·라벨·허위·관세청·단속 등 브랜드 진정성과 윤리적 가치 수호를 나타내는 키워드 집합이다.
126,13,"섬유, 봉제, 산업, 청년, 제조, 공고, 산업부, 방산, 향상, 지원",역량,섬유·봉제 산업 청년 육성 및 제조 지원 등 산업 역량 강화와 관련된 토픽입니다.
128,13,"버터, 젠틀, 김선태, 몬스터, 고글, 골든, 컬렉션, 약과, 유행, 억지",개성,"버터, 젠틀몬스터, 약과, 골든컬렉션 등 독특한 브랜드 개성과 트렌디한 감성을 표현하는 토픽입니다."
131,13,"신세계, 면세점, 관광, 섬유, 김해, 자원, 순환, 공사, 재고, 외국인",가치,"신세계 면세점의 자원 순환, 재고 관리, 외국인 관광 등 지속가능성과 사회적 가치를 반영하는 토픽입니다."
139,12,"영동, 전통, 천체, 전시, 망원경, 작가, 그림자, 드레스, 관측, 백매",문화,"천체 관측, 전통, 전시, 작가, 드레스 등 예술·전통 문화와 패션이 결합된 문화적 활동을 나타내는 토픽입니다."
142,12,"코오롱, 인더스, 트리, 라벨, 봉제, 아라미드, 단속, 갈이, 영업, 이익",역량,"코오롱 인더스트리의 아라미드, 봉제, 영업이익 등 소재 기술 및 제조 역량을 다루는 토픽입니다."
151,11,"컨셉, 이지은, 신임, 선임, 상무, 경력, 대표이사, 전문가, 대표, 코오롱",역량,코오롱의 신임 대표이사 및 임원 선임 등 기업 리더십과 인적 역량 구성을 다루는 토픽입니다.
154,11,"방적, 충남, 창업, 박윤수, 관광, 공모전, 양산, 리포터, 청년, 예산군",문화,"방적 창업, 지역 관광, 청년 공모전 등 지역 산업 문화와 창업 생태계를 반영하는 토픽입니다."
167,9,"섬유, 대구, 박람회, 첨단, 엑스코, 경북, 리부트, 산업, 국제, 친환경",역량,"대구 섬유 국제박람회, 첨단 친환경 산업 리부트 등 섬유 산업의 혁신 역량을 나타내는 토픽입니다."
172,9,"프라다, 악마, 해서웨이, 개봉, 에밀리, 스트, 메릴, 미란다, 런웨이, 리프",표현,악마는 프라다를 입는다 영화 콘텐츠를 통한 패션 브랜드의 미디어 표현과 연계를 나타내는 토픽입니다.
